fneg,float,22
fadd,float,22
fsub,float,21
fmul,float,22
fdiv,float,23
fcmp,float,20
fpext_float_to_double,float,22
sin,float,148
cos,float,149
tan,float,252
exp,float,128
log,float,84
sqrt,float,39
expm1,float,87
log1p,float,127
cbrt,float,670
pow,float,270
fabs,float,24
hypot,float,935
fma,float,84
fneg,double,23
fadd,double,24
fsub,double,24
fmul,double,24
fdiv,double,38
fcmp,double,26
fptrunc_double_to_float,double,22
sin,double,1318
cos,double,1329
tan,double,1528
exp,double,259
log,double,153
sqrt,double,62
expm1,double,86
log1p,double,217
cbrt,double,403
pow,double,348
fabs,double,22
hypot,double,558
fma,double,82
